combined_info
"Product Name: YAK YAK Men Camel Brown Solid Polo Collar T-shirt. Product Brand: YAK YAK. Gender: Men. Price (INR): 599. Number of Images: 5. Description: Camel brown solid T-shirt, has polo collar, short sleeves. Primary Color:  Brown"
Product Name: PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252. Product Brand: PARFAIT. Gender: Women. Price (INR): 1749. Number of Images: 3. Description: Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort. Primary Color:  Red
"Product Name: HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt. Product Brand: HIGHLANDER. Gender: Men. Price (INR): 699. Number of Images: 5. Description: Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket. Primary Color:  Black"
Product Name: SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats. Product Brand: SEJ by Nisha Gupta. Gender: Unisex. Price (INR): 899. Number of Images: 4. Description: Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton. Primary Color:  Red
"Product Name: SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans. Product Brand: SPYKAR. Gender: Women. Price (INR): 1199. Number of Images: 7. Description: Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops. Primary Color: Blue"
Product Name: JEWEL JUNCTION Gold-Toned Square Cufflinks. Product Brand: JEWEL JUNCTION. Gender: Men. Price (INR): 539. Number of Images: 5. Description: A pair of gold-toned square solid cufflinks. Primary Color:  Gold
Product Name: ID Men Tan Brown Fisherman Leather Sandals. Product Brand: ID. Gender: Men. Price (INR): 2385. Number of Images: 5. Description: A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer. Primary Color:  Brown
Product Name: Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers. Product Brand: Story@home. Gender: Unisex. Price (INR): 1199. Number of Images: 4. Description: Set content: 1 King bedsheet with 2 pillow coversQuality: Fine Thread count: 210Colour: MulticolouredPattern: Geometric. Primary Color:  Red
"Product Name: Raymond Men Blue Slim Fit Printed Formal Shirt. Product Brand: Raymond. Gender: Men. Price (INR): 1079. Number of Images: 5. Description: Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket. Primary Color: Blue"
"Product Name: Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt. Product Brand: Gini and Jony. Gender: Boys. Price (INR): 699. Number of Images: 3. Description: Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem. Primary Color: Blue"
"Product Name: Sera Women Blue Printed Kurta with Palazzos. Product Brand: Sera. Gender: Women. Price (INR): 1437. Number of Images: 5. Description: Blue printed kurta with palazzos Blue A-line calf length kurta, has a round neck, short sleeves, flared hem Blue solid palazzos, button closure. Primary Color: Blue"
